"Open","High","Low","Close","Volume","Adjusted","Date","Emiten"
925,930,920,920,718800,834.221252,"2015-03-23","INKP"
925,930,920,925,326100,838.755127,"2015-03-24","INKP"
920,925,915,920,1375300,834.221252,"2015-03-25","INKP"
920,935,910,920,1025700,834.221252,"2015-03-26","INKP"
915,925,910,925,376800,838.755127,"2015-03-27","INKP"
930,930,920,920,150000,834.221252,"2015-03-30","INKP"
930,1000,925,995,2561200,902.228638,"2015-03-31","INKP"
990,990,970,975,948800,884.093323,"2015-04-01","INKP"
975,975,965,975,445600,884.093323,"2015-04-02","INKP"
975,975,965,970,247000,879.55957,"2015-04-06","INKP"
975,990,970,985,905300,893.160889,"2015-04-07","INKP"
990,990,970,985,1153900,893.160889,"2015-04-08","INKP"
985,985,980,985,104000,893.160889,"2015-04-09","INKP"
985,990,975,985,251000,893.160889,"2015-04-10","INKP"
990,1000,990,990,508300,897.694702,"2015-04-13","INKP"
990,990,975,975,175800,884.093323,"2015-04-14","INKP"
975,980,970,975,205300,884.093323,"2015-04-15","INKP"
975,990,975,980,186400,888.627075,"2015-04-16","INKP"
990,1025,980,1010,690900,915.830017,"2015-04-17","INKP"
1020,1025,985,990,424300,897.694702,"2015-04-20","INKP"
995,995,970,980,336800,888.627075,"2015-04-21","INKP"
975,980,960,975,233400,884.093323,"2015-04-22","INKP"
975,980,970,980,161900,888.627075,"2015-04-23","INKP"
985,990,975,975,108000,884.093323,"2015-04-24","INKP"
970,970,920,930,662500,843.289001,"2015-04-27","INKP"
925,965,925,965,213900,875.025696,"2015-04-28","INKP"
940,965,930,930,349600,843.289001,"2015-04-29","INKP"
925,1150,925,1120,6477700,1015.573792,"2015-04-30","INKP"
1125,1200,1120,1130,4904400,1024.641479,"2015-05-04","INKP"
1150,1170,1110,1140,1832900,1033.709106,"2015-05-05","INKP"
1150,1150,1125,1135,1249900,1029.175293,"2015-05-06","INKP"
1135,1150,1095,1095,1060600,992.904785,"2015-05-07","INKP"
1095,1095,1045,1045,1522400,947.566589,"2015-05-08","INKP"
1055,1070,1040,1040,805900,943.032837,"2015-05-11","INKP"
1055,1080,1045,1065,500200,965.701904,"2015-05-12","INKP"
1075,1170,1070,1150,2104100,1042.776733,"2015-05-13","INKP"
1155,1180,1140,1150,577900,1042.776733,"2015-05-15","INKP"
1135,1165,1090,1090,848200,988.371033,"2015-05-18","INKP"
1090,1120,1085,1100,392000,997.438599,"2015-05-19","INKP"
1100,1100,1085,1090,259400,988.371033,"2015-05-20","INKP"
1085,1090,1075,1080,265400,979.303467,"2015-05-21","INKP"
1075,1125,1075,1080,1077800,979.303467,"2015-05-22","INKP"
1075,1075,1050,1055,993400,956.634216,"2015-05-25","INKP"
1055,1055,1035,1040,1160600,943.032837,"2015-05-26","INKP"
1045,1095,1045,1070,902500,970.235718,"2015-05-27","INKP"
1070,1095,1055,1070,947000,970.235718,"2015-05-28","INKP"
1080,1080,1000,1000,1593200,906.76239,"2015-05-29","INKP"
1015,1030,1010,1025,575800,929.431396,"2015-06-01","INKP"
1020,1020,990,1000,697200,906.76239,"2015-06-03","INKP"
1000,1005,985,990,425500,897.694702,"2015-06-04","INKP"
1000,1000,980,985,359300,893.160889,"2015-06-05","INKP"
990,995,965,965,200100,875.025696,"2015-06-08","INKP"
965,965,885,890,1904000,807.018433,"2015-06-09","INKP"
890,925,890,920,2591100,834.221252,"2015-06-10","INKP"
925,925,895,895,2124900,811.552307,"2015-06-11","INKP"
895,900,880,895,482500,811.552307,"2015-06-12","INKP"
895,900,875,890,361000,807.018433,"2015-06-15","INKP"
895,900,890,890,367000,807.018433,"2015-06-16","INKP"
890,910,890,900,519900,816.086182,"2015-06-17","INKP"
900,900,885,895,805400,811.552307,"2015-06-18","INKP"
895,905,890,890,1521200,807.018433,"2015-06-19","INKP"
890,895,865,895,553800,811.552307,"2015-06-22","INKP"
900,900,895,900,618200,816.086182,"2015-06-23","INKP"
900,940,895,920,2073500,834.221252,"2015-06-24","INKP"
920,925,895,915,846500,829.687561,"2015-06-25","INKP"
915,925,895,895,1041200,811.552307,"2015-06-26","INKP"
900,900,875,885,825400,802.484741,"2015-06-29","INKP"
885,910,875,895,125000,811.552307,"2015-06-30","INKP"
910,910,895,895,299100,811.552307,"2015-07-01","INKP"
910,930,900,910,714900,825.153809,"2015-07-02","INKP"
900,910,885,900,731600,839.139465,"2015-07-03","INKP"
910,910,885,890,750200,829.815613,"2015-07-06","INKP"
900,900,885,895,89700,834.477539,"2015-07-07","INKP"
